LocationName|PermitNumber|LocationGridRef|X|Y|LATITUDE|LONGITUDE|ReceivingWaterCourse|AlertStatus|AlertPast48Hours|MostRecentDischargeAlertStart|MostRecentDischargeAlertStop
(Northern) Low Level No 1 Brook Green|CSAB.0535|TQ23047815|523040|178150|51.48892120401|-0.229225003085766|River Thames|Not discharging|False|2022-09-13T16:08:00|2022-09-13T16:18:00
15 Coldharbour Lane, Bushey|TEMP.2331|TQ13909538|513900|195380|51.6456916872044|-0.355230840466582|Colne Brook|Not discharging|None|None|None
Abbess Roding|CTCR.2034|TL57581109|557580|211090|51.7762984340985|0.282697693679463|Coopers Brook|Not discharging|True|2023-04-02T21:30:00|2023-04-02T22:00:00
Abbey Mills|CSAB.0530|TQ38858314|538850|183140|51.5301037861073|0.000311783554430522|River Lee (Channelsea River South)|Not discharging|False|None|None
Abingdon|CTCR.1804|SU49339509|449330|195090|51.6524446114114|-1.28835643493025|Odhay Hill Ditch|Not discharging|True|2023-04-03T19:15:00|2023-04-04T00:00:00
Acton & Storm Works|TEMP.0312|TQ212800|521200|180000|51.505944684601|-0.255078699159893|River Thames|Not discharging|False|2023-03-31T13:58:00|2023-04-01T01:32:00
Aldermaston|TEMP.2345|SU59126551|459120|165510|51.385564967207|-1.1518151301481|Groundwater|Not discharging|False|2023-04-02T04:30:00|2023-04-02T05:00:00
Aldershot Town|CTCR.1974|SU884505|488400|150500|51.2468326011265|-0.734861196992165|River Blackwater|Not discharging|True|2023-04-03T13:45:00|2023-04-03T14:15:00
Allendale Road|TEMP.2367|TQ18018510|518010|185100|51.5524551971606|-0.299312732693112|Wembley Brook|Not discharging|False|None|None
Ampney St Peter|CSSC.2452|SP08360077|408360|200770|51.7056083968623|-1.88041889560713|Ampney Brook|Discharging|True|2023-03-22T09:15:00|None
Amyand Park Road, Twickenham|TEMP.2369|TQ16707330|516700|173300|51.4466737653528|-0.322097591600029|River Thames|Offline|False|None|None
Andoversford|CNTD.0001|SP02501986|402500|219860|51.8773023432616|-1.96508980756011|River Coln|Discharging|True|2023-03-29T11:15:00|None
Appleton|TEMP.2351|SU43689979|443680|199790|51.6951669273965|-1.36943249240316|Marcham Brook|Discharging|True|2023-03-31T04:45:00|None
Arborfield|CNTD.0020|SU76766738|476760|167380|51.4002681414581|-0.897963626635068|Barkham Brook|Not discharging|True|2023-04-04T05:00:00|2023-04-04T06:15:00
Arford|CASM.0402|SU82733688|482730|136880|51.1252378574359|-0.819209569927507|River Wey|Not discharging|False|2022-08-17T15:15:00|2022-08-17T16:15:00
Ascot|CTCR.2048|SU89076813|489070|168130|51.4052133474025|-0.720863438640952|Bull Brook (The Cut)|Not discharging|False|2022-11-21T20:30:00|2022-11-21T23:00:00
Ash Ridge (Wokingham)|TEMP.3020|SU81267006|481260|170060|51.4237347487453|-0.832676835682723|Ashridge Stream|Not discharging|False|2023-04-01T23:30:00|2023-04-02T01:30:00
Ash Vale|TEMP.2354|SU88535412|488530|154120|51.2793549176947|-0.732104195969319|River Blackwater|Not discharging|True|2023-04-02T20:30:00|2023-04-02T21:00:00
Aston Le Walls|CNTD.0040|SP49405100|449400|251000|52.1550771137404|-1.2793485914217|Tributary of Highfurlong Brook|Not discharging|False|2023-01-12T05:45:00|2023-01-12T12:15:00
Auckland Road Storm Tanks|CSBC.0085|TQ37518639|537510|186390|51.5596359589157|-0.017724686306804|Tributary of Dagenham Brook|Not discharging|False|2022-12-23T16:00:00|2022-12-23T17:08:00
Avon Dassett|TEMP.2362|SP40504930|440500|249300|52.1405168330234|-1.40963147232108|Hanwell Brook|Not discharging|False|2023-03-13T05:45:00|2023-03-13T13:00:00
Avondale Rd|TEMP.0376|SU818546|481800|154600|51.2846748334341|-0.828461845594247|Fleet Brook|Not discharging|None|None|None
Aylesbury|CSSC.0315|SP78621474|478620|214740|51.8257577912196|-0.86062334043462|River Thame|Not discharging|False|2023-04-02T02:30:00|2023-04-02T03:45:00
Bakers Farm, High Wych|TEMP.0382|TL462142|546200|214200|51.8073270836534|0.119182150991683|High Wych Ditch|Not discharging|False|2023-03-31T18:30:00|2023-03-31T20:45:00
Bampton|TEMP.2373|SP32300275|432300|202750|51.7225477376942|-1.53379924258431|Shill Brook|Discharging|True|2023-04-04T09:30:00|None
Banbury|CTCR.1867|SP471396|447100|239600|52.052792889325|-1.31453691689964|River Cherwell|Not discharging|True|2023-04-02T19:00:00|2023-04-02T21:45:00
Barbers Lane|TEMP.2431|TL09222138|509220|221380|51.8802976175461|-0.414677362507913|River Lee|Not discharging|None|None|None
Barkway|CATM.3093|TL38783476|538780|234760|51.993953827607|0.0199013475137503|River Quin|Discharging|True|2023-04-04T07:00:00|None
Basingstoke|CTCR.0875|SU67805525|467800|155250|51.2923544604732|-1.029049200144|Tributary of River Loddon|Not discharging|False|2023-01-16T04:30:00|2023-01-17T00:30:00
Beckley|CAWM.1403|SP56681194|456680|211940|51.8032378589774|-1.17938911527776|Otmoor Lane Ditch|Not discharging|True|2023-04-04T09:15:00|2023-04-04T10:30:00
Beckton|CSSA.0360|TQ45248161|545240|181610|51.5147500448442|0.0917372906538887|River Thames|Not discharging|False|2023-03-31T19:00:00|2023-03-31T20:00:00
Beddington|TEMP.2381|TQ29526633|529520|166330|51.3812513820342|-0.140263196643741|River Wandle|Not discharging|False|2023-03-31T17:45:00|2023-04-01T01:45:00
Beech Hall Crescent, Walthamstow|CLCR.0032|TQ38619140|538610|191400|51.6043861228034|0.000109098708066029|Ching Brook|Not discharging|False|2023-03-31T12:30:00|2023-04-01T00:30:00
Beenham|TEMP.2382|SU59396941|459390|169410|51.4206002410945|-1.14728395763863|Webbs Lane Stream|Not discharging|False|2023-04-02T08:15:00|2023-04-02T09:15:00
Beer Lane|CSAB.0559|TQ33308054|533300|180540|51.5080755154365|-0.0806319995674022|River Thames|Not discharging|False|2023-03-31T20:02:00|2023-03-31T20:08:00
Bell Lane Creek|TEMP.2438|TQ254749|525400|174900|51.4591953865844|-0.196403822584265|Bell Lane Creek|Offline|False|None|None
Bell Wharf|CSAB.0526|TQ35648071|535640|180710|51.5090468553461|-0.0468697782723838|River Thames|Not discharging|False|2023-03-31T19:26:00|2023-03-31T20:14:00
Benson|CATM.3525|SU62029051|462020|190510|51.6100154777742|-1.10576006825604|Howbery Ditch|Discharging|True|2023-03-31T16:30:00|None
Bentley|CSSC.2455|SU79004367|479000|143670|51.1868074863072|-0.871009432864769|Groundwater|Not discharging|True|2023-04-03T21:00:00|2023-04-03T21:30:00
Bentsbrook Road|TEMP.2441|TQ170474|517000|147400|51.2138261660943|-0.326280010466838|Bents Brook|Not discharging|False|2022-11-06T09:45:00|2022-11-06T10:15:00
